timestamp,G1,G2,G3,G4,G5,G6,total,label
1970-01-01 00:14:40,1,0,0,0,0,0,1,LOW
1970-01-01 00:14:41,0,0,1,1,0,0,2,LOW
1970-01-01 00:14:49,0,1,0,0,0,0,1,LOW
1970-01-01 00:14:50,1,0,1,0,0,0,2,LOW
1970-01-01 00:14:51,0,0,0,1,0,0,1,LOW
1970-01-01 00:14:54,0,0,0,0,1,0,1,LOW
1970-01-01 00:14:55,0,0,0,0,0,1,1,LOW
1970-01-01 00:14:59,0,0,1,0,0,0,1,LOW
1970-01-01 00:15:00,1,1,0,0,1,0,3,MEDIUM
1970-01-01 00:15:01,0,0,0,1,0,1,2,LOW
1970-01-01 00:15:04,0,1,0,0,0,0,1,LOW
1970-01-01 00:15:05,0,0,1,0,0,0,1,LOW
1970-01-01 00:15:08,1,0,0,0,0,0,1,LOW
1970-01-01 00:15:11,0,0,0,0,0,1,1,LOW
1970-01-01 00:15:12,0,0,0,1,1,0,2,LOW
1970-01-01 00:15:18,0,0,1,0,0,0,1,LOW
1970-01-01 00:15:19,0,1,0,0,0,0,1,LOW
1970-01-01 00:15:21,0,0,0,1,1,0,2,LOW
1970-01-01 00:15:22,1,0,0,0,0,1,2,LOW
1970-01-01 00:15:31,0,1,1,1,1,1,5,HEAVY
1970-01-01 00:15:38,1,0,0,0,0,0,1,LOW
1970-01-01 00:15:40,0,0,0,0,1,0,1,LOW
1970-01-01 00:15:41,0,0,1,1,0,1,3,MEDIUM
1970-01-01 00:15:44,0,1,0,0,0,0,1,LOW
1970-01-01 00:15:47,1,0,0,0,0,0,1,LOW
1970-01-01 00:15:50,0,0,0,1,1,1,3,MEDIUM
1970-01-01 00:15:57,0,0,1,0,0,0,1,LOW
1970-01-01 00:16:00,0,1,0,0,0,0,1,LOW
1970-01-01 00:16:01,0,0,0,1,0,0,1,LOW
1970-01-01 00:16:02,1,0,0,0,1,1,3,MEDIUM
1970-01-01 00:16:10,0,0,0,1,0,0,1,LOW
1970-01-01 00:16:11,0,0,0,0,0,1,1,LOW
1970-01-01 00:16:12,1,0,0,0,1,0,2,LOW
1970-01-01 00:16:13,0,0,1,0,0,0,1,LOW
1970-01-01 00:16:20,0,1,0,1,0,1,3,MEDIUM
1970-01-01 00:16:24,0,0,0,0,1,0,1,LOW
1970-01-01 00:16:25,1,0,0,0,0,0,1,LOW
1970-01-01 00:16:28,0,0,1,0,0,0,1,LOW
1970-01-01 00:16:29,0,0,0,0,0,1,1,LOW
1970-01-01 00:16:30,0,0,0,1,0,0,1,LOW
1970-01-01 00:16:33,0,0,0,0,1,0,1,LOW
1970-01-01 00:16:37,0,0,1,0,0,0,1,LOW
1970-01-01 00:16:39,1,0,0,0,0,0,1,LOW
1970-01-01 00:16:40,0,1,0,1,0,1,3,MEDIUM
1970-01-01 00:16:43,0,0,0,0,1,0,1,LOW
1970-01-01 00:16:47,0,0,1,0,0,0,1,LOW
1970-01-01 00:16:49,0,0,0,1,0,1,2,LOW
1970-01-01 00:16:56,0,0,0,0,1,0,1,LOW
1970-01-01 00:16:57,0,1,0,0,0,0,1,LOW
1970-01-01 00:16:58,0,0,0,1,0,1,2,LOW
1970-01-01 00:17:00,0,0,1,0,0,0,1,LOW
1970-01-01 00:17:06,1,0,0,0,1,0,2,LOW
1970-01-01 00:17:08,0,1,0,0,0,1,2,LOW
1970-01-01 00:17:09,0,0,0,1,0,0,1,LOW
1970-01-01 00:17:10,0,0,1,0,0,0,1,LOW
1970-01-01 00:17:16,0,0,0,0,1,0,1,LOW
1970-01-01 00:17:17,1,0,0,0,0,0,1,LOW
1970-01-01 00:17:18,0,0,0,0,0,1,1,LOW
1970-01-01 00:17:20,0,1,0,1,0,0,2,LOW
1970-01-01 00:17:26,0,0,0,0,1,0,1,LOW
1970-01-01 00:17:27,0,0,0,0,0,1,1,LOW
1970-01-01 00:17:29,0,0,1,0,0,0,1,LOW
1970-01-01 00:17:30,0,1,0,1,0,0,2,LOW
1970-01-01 00:17:33,1,0,0,0,0,0,1,LOW
1970-01-01 00:17:35,0,0,0,0,1,0,1,LOW
1970-01-01 00:17:40,0,1,0,1,0,1,3,MEDIUM
1970-01-01 00:17:45,0,0,0,0,1,0,1,LOW
1970-01-01 00:17:49,0,1,0,0,0,0,1,LOW
1970-01-01 00:17:50,0,0,0,0,0,1,1,LOW
1970-01-01 00:17:52,0,0,1,0,0,0,1,LOW
1970-01-01 00:17:53,0,0,0,1,0,0,1,LOW
1970-01-01 00:17:54,1,0,0,0,0,0,1,LOW
1970-01-01 00:17:56,0,0,0,0,1,0,1,LOW
1970-01-01 00:18:00,0,0,0,0,0,1,1,LOW
1970-01-01 00:18:02,0,0,0,1,0,0,1,LOW
1970-01-01 00:18:06,0,0,0,0,1,0,1,LOW
1970-01-01 00:18:10,0,0,1,0,0,0,1,LOW
1970-01-01 00:18:11,1,0,0,0,0,1,2,LOW
1970-01-01 00:18:15,0,1,0,0,0,0,1,LOW
1970-01-01 00:18:16,0,0,0,1,1,0,2,LOW
1970-01-01 00:18:20,0,0,0,0,0,1,1,LOW
1970-01-01 00:18:26,0,0,0,1,1,0,2,LOW
1970-01-01 00:18:29,0,1,0,0,0,1,2,LOW
1970-01-01 00:18:35,0,0,1,1,0,0,2,LOW
1970-01-01 00:18:36,0,0,0,0,1,0,1,LOW
1970-01-01 00:18:39,0,0,0,0,0,1,1,LOW
1970-01-01 00:18:41,0,1,0,0,0,0,1,LOW
1970-01-01 00:18:43,1,0,0,0,0,0,1,LOW
1970-01-01 00:18:46,0,0,1,1,1,0,3,MEDIUM
1970-01-01 00:18:49,0,0,0,0,0,1,1,LOW
1970-01-01 00:18:56,0,0,0,1,1,0,2,LOW
1970-01-01 00:18:57,1,0,0,0,0,0,1,LOW
1970-01-01 00:18:59,0,0,0,0,0,1,1,LOW
1970-01-01 00:19:00,0,1,0,0,0,0,1,LOW
1970-01-01 00:19:06,0,0,0,1,1,0,2,LOW
1970-01-01 00:19:09,0,0,0,0,0,1,1,LOW
1970-01-01 00:19:11,1,0,0,0,0,0,1,LOW
1970-01-01 00:19:13,0,1,0,0,0,0,1,LOW
1970-01-01 00:19:14,0,0,1,0,0,0,1,LOW
1970-01-01 00:19:15,0,0,0,1,1,0,2,LOW
1970-01-01 00:19:18,0,0,0,0,0,1,1,LOW
1970-01-01 00:19:23,0,1,0,0,0,0,1,LOW
1970-01-01 00:19:24,0,0,0,0,1,0,1,LOW
1970-01-01 00:19:25,0,0,1,1,0,0,2,LOW
1970-01-01 00:19:31,1,0,0,0,0,1,2,LOW
1970-01-01 00:19:33,0,1,0,0,0,0,1,LOW
1970-01-01 00:19:34,0,0,1,1,0,0,2,LOW
1970-01-01 00:19:35,0,0,0,0,1,0,1,LOW
1970-01-01 00:19:42,0,0,0,0,0,1,1,LOW
1970-01-01 00:19:44,0,0,0,0,1,0,1,LOW
1970-01-01 00:19:46,1,1,1,0,0,0,3,MEDIUM
1970-01-01 00:19:47,0,0,0,1,0,0,1,LOW
1970-01-01 00:19:51,0,0,0,0,0,1,1,LOW
1970-01-01 00:19:53,0,0,0,0,1,0,1,LOW
1970-01-01 00:19:56,0,0,0,1,0,0,1,LOW
1970-01-01 00:19:59,1,0,0,0,0,0,1,LOW
1970-01-01 00:20:00,0,0,1,0,0,1,2,LOW
1970-01-01 00:20:03,0,0,0,0,1,0,1,LOW
1970-01-01 00:20:04,0,1,0,0,0,0,1,LOW
1970-01-01 00:20:06,0,0,0,1,0,0,1,LOW
1970-01-01 00:20:08,1,0,0,0,0,0,1,LOW
1970-01-01 00:20:12,0,0,0,0,1,1,2,LOW
